question_id,question,ground_truth,generated_answer,score,reasoning,process_level,latency_seconds
1,Học phí học lại cấp độ Anh ngữ của chương trình chuẩn cho khóa 2023 là bao nhiêu?,15.000.000 đồng/cấp độ.,Học phí học lại cấp độ Anh ngữ của chương trình chuẩn cho khóa 2023 là **15.000.000 đồng**.,10.0,"Câu trả lời của AI truyền đạt đúng ý chính và thông tin chuẩn: học phí học lại cấp độ Anh ngữ của chương trình chuẩn cho khóa 2023 là 15.000.000 đồng, hoàn toàn khớp với Ground Truth.",0,0.0
2,"Em là tân sinh viên K2025 trúng tuyển ngành Kỹ thuật dữ liệu hệ đại trà, học phí 1 kỳ của em là bao nhiêu?",18.000.000 đồng/học kỳ.,"Theo bảng mức học phí cho các ngành đặc thù năm 2024‑2025 (Nguồn #3), sinh viên K2025 ngành Kỹ thuật dữ liệu (thuộc khối ngành Công nghệ kỹ thuật) phải đóng học phí 18.300.000 đồng cho mỗi học kỳ.",3.0,"AI trả lời 18.300.000 đồng/học kỳ, sai so với đáp án chuẩn 18.000.000 đồng/học kỳ; thông tin không chính xác.",1,3.44
3,Mức điểm TOEIC 4 kỹ năng 800 điểm sẽ được xét miễn học phần tiếng Anh nào?,Được miễn thi cả 2 học phần: Kỹ năng giao tiếp tiếng Anh 1 và Kỹ năng giao tiếp tiếng Anh 2.,"Mức TOEIC 4 kỹ năng 800 điểm thuộc khoảng 790‑1090, nên sinh viên được **miễn học phần “Kỹ năng giao tiếp tiếng Anh 2”**.",5.0,"Câu trả lời chỉ đề cập đến việc miễn học phần Kỹ năng giao tiếp tiếng Anh 2, trong khi chuẩn yêu cầu miễn cả hai học phần Kỹ năng giao tiếp tiếng Anh 1 và Kỹ năng giao tiếp tiếng Anh 2. Do đó, câu trả lời thiếu một phần quan trọng của thông tin.",0,0.0
4,"Sinh viên khóa 2024 nộp chứng chỉ IELTS 5.5 sẽ được quy đổi sang điểm học phần Academic English 1, 2 và 3 là bao nhiêu?",Academic English 1 được 9.0; Academic English 2 được 9.0; Academic English 3 được 8.5.,"Sinh viên khóa 2024 nộp chứng chỉ IELTS 5.5 (theo hàng “TOEFL iBT – 5.5” trong bảng quy đổi) sẽ được quy đổi điểm:

- **Academic English 1:** 9.0  
- **Academic English 2:** 9.0  
- **Academic English 3:** 8.5  ",10.0,"Câu trả lời của AI cung cấp đúng các điểm quy đổi cho Academic English 1, 2 và 3 (9.0, 9.0, 8.5) như trong chuẩn, không thiếu chi tiết hay sai sót nào.",0,0.0
5,Chứng chỉ Tiếng Nhật JLAN J4 đạt 91 điểm được quy đổi điểm học phần Tiếng Nhật 1 là bao nhiêu?,10 điểm.,"Theo nguồn #1, điểm quy đổi chứng chỉ JLAN J4 tương ứng với cấp độ N4, điểm quy đổi cụ thể như sau: 100-105 điểm tương ứng với cấp độ N4, điểm JLPT N4 là 125. Tuy nhiên, để biết chính xác điểm quy đổi sang tín chỉ học phần, cần tham khảo thêm quy định chuyển đổi điểm trong Phụ lục I, Phụ lục II của quy định này.",1.0,AI không đưa ra đáp án 10 điểm như Ground Truth mà chỉ đưa thông tin không liên quan và không trả lời câu hỏi.,2,47.91
6,Mức thưởng cho tập thể lớp đạt danh hiệu 'Sinh viên 5 tốt cấp thành phố' là bao nhiêu?,2.000.000 đồng.,Mức thưởng cho tập thể đạt danh hiệu **“Sinh viên 5 tốt cấp thành phố”** là **2.000.000 đồng**.,10.0,"Câu trả lời của AI cung cấp đúng con số thưởng là 2.000.000 đồng, hoàn toàn khớp với đáp án chuẩn và không có thông tin sai lệch hay thiếu sót.",0,0.0
7,Nghỉ học không phép sẽ bị trừ bao nhiêu điểm rèn luyện?,Trừ 2 điểm/lần.,"Việc nghỉ học không phép thường dẫn đến kỷ luật mức cảnh cáo (cảnh cáo học vụ). Theo Điều 11 của Quy chế đánh giá rèn luyện, trong thời gian sinh viên bị kỷ luật mức cảnh cáo, kết quả đánh giá rèn luyện không được vượt quá loại ""trung bình"". Vì vậy, điểm rèn luyện của sinh viên nghỉ học không phép sẽ bị giới hạn không vượt quá mức trung bình.",2.0,"Câu trả lời của AI không cung cấp thông tin số điểm bị trừ như yêu cầu (2 điểm/lần). Thay vào đó, AI chỉ nêu về mức kỷ luật và giới hạn loại đánh giá, không trả lời đúng câu hỏi nên điểm rất thấp.",2,59.25
8,Lịch thi cuối kỳ đợt 1 của Học kỳ 2 năm học 2025-2026 sẽ diễn ra vào tuần thứ mấy?,Tuần 35 và tuần 36.,"Theo kế hoạch trong file **BieuDoKeHoach25-26.pdf**, kỳ thi kết thúc học phần (thi cuối kỳ) của **đợt 1 – Học kỳ 2** diễn ra:

- **Tuần 35** (ngày 13‑18/04/2026) và kéo dài đến **tuần 36** (ngày 20‑25/04/2026).",10.0,"Câu trả lời của AI nêu đúng tuần 35 và tuần 36, trùng khớp hoàn toàn với đáp án chuẩn. Thông tin được truyền đạt rõ ràng, không có sai sót hay thiếu sót.",0,0.0
9,Mức trình độ năng lực (TĐNL) từ 4.0 đến 5.0 được định nghĩa là gì?,"Đánh giá: Sinh viên đưa ra được nhận định, dự báo về kiến thức/thông tin theo các tiêu chuẩn, tiêu chí và chỉ số đo lường đã được xác định.","**Mức trình độ năng lực 4.0 < TĐNL ≤ 5.0:**  

- **Trình độ:** Thành thạo  
- **Mô tả:** “Đánh giá” – sinh viên có thể đưa ra nhận định, dự báo về kiến thức/thông tin dựa trên các tiêu chuẩn, tiêu chí và chỉ số đo lường đã xác định, thông qua các hành động như nhận xét, phản biện, đề xuất, … (theo Nguồn #1 và Nguồn #5).",10.0,"Câu trả lời của AI nêu đúng định nghĩa của mức TĐNL 4.0‑5.0: ‘Đánh giá’, sinh viên có thể đưa ra nhận định, dự báo về kiến thức/thông tin dựa trên các tiêu chuẩn, tiêu chí và chỉ số đo lường đã xác định. Nội dung khớp hoàn toàn với chuẩn và thậm chí bổ sung chi tiết (trình độ thành thạo, các hành động như nhận xét, phản biện, đề xuất) mà không sai lệch, vì vậy đạt điểm tối đa.",0,0.0
10,Mã môn học của môn Pickleball là gì và có bao nhiêu tiết thực hành?,"Mã môn là PICK112330, học phần này có 21 tiết thực hành.",Mã môn học của Pickleball là **PICK112330** và có **21 tiết thực hành**.,10.0,"Câu trả lời của AI hoàn toàn đúng với chuẩn: cung cấp đúng mã môn PICK112330 và số tiết thực hành là 21, không thiếu chi tiết hay sai sót nào.",0,0.0
