question_id,question,ground_truth,model_name,generated_answer,latency_seconds,context_length,score,reasoning
1,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Llama 3.1 8B,Học phần Kỹ năng giao tiếp tiếng Anh 1 có 4 tín chỉ.,0.83,2599,10,"Câu trả lời AI đúng hoàn toàn với Ground Truth, cung cấp đúng số tín chỉ là 4"
1,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Llama 3.3 70B,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,0.46,2599,10,"Câu trả lời của AI hoàn toàn khớp với Ground Truth, truyền đạt đúng thông tin về số tín chỉ."
1,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Groq Compound Mini,Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có **4 tín chỉ**.,0.82,2599,10,"Câu trả lời AI truyền đạt đúng thông tin chính: môn Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ, tương đồng với Ground Truth."
2,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ quy đổi sang các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,Llama 3.1 8B,Tôi không tìm thấy thông tin về thời gian nộp chứng chỉ IELTS để miễn học phần tiếng Anh cho sinh viên khóa 2023 trong các văn bản tham khảo.,0.57,5220,2,"AI trả lời rằng không tìm thấy thông tin, trong khi Ground Truth đã cung cấp rõ ràng thời gian là 07 học kỳ đầu, nên câu trả lời AI không đúng và thiếu thông tin quan trọng."
2,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ quy đổi sang các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,Llama 3.3 70B,Tôi không tìm thấy thông tin này trong tài liệu.,0.55,5220,1,AI không cung cấp thông tin đúng; trả lời rằng không tìm thấy thông tin trong khi Ground Truth đã nêu rõ thời gian 07 học kỳ đầu tiên.
2,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ quy đổi sang các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,Groq Compound Mini,"Theo **NGUỒN #1**, sinh viên chỉ được sử dụng chứng chỉ (bao gồm IELTS) để miễn thi các học phần Kỹ năng giao tiếp tiếng Anh **trong 7 học kỳ đầu tiên**. Từ học kỳ thứ 8 trở đi, sinh viên phải đăng ký học như bình thường.",1.38,5220,10,"Câu trả lời AI truyền đạt đúng nội dung chính của Ground Truth: chỉ dùng chứng chỉ để miễn học phần tiếng Anh trong 7 học kỳ đầu, không sai thông tin."
3,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,Llama 3.1 8B,Tôi không tìm thấy thông tin này trong tài liệu.,0.54,4483,1,"AI không cung cấp đáp án đúng, chỉ nói không tìm thấy thông tin, trong khi đáp án chuẩn là 385-785."
3,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,Llama 3.3 70B,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,0.56,4483,10,"Câu trả lời AI trùng khớp hoàn toàn với Ground Truth, cung cấp đúng mức điểm TOEIC 4 kỹ năng là 385-785."
3,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,Groq Compound Mini,Mức điểm TOEIC (4 kỹ năng) để được miễn học phần **Kỹ năng giao tiếp tiếng Anh 1** là **385 – 785** (theo bảng trong các nguồn #1 và #2).,1.31,4483,10,"Câu trả lời AI truyền đạt đúng và đầy đủ mức điểm 385-785 như Ground Truth, không sai lệch."
4,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 là khi nào?,Từ ngày 15/09/2025 đến ngày 31/12/2025.,Llama 3.1 8B,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 là từ ngày 15/09/2025 đến ngày 31/12/2025.,0.67,4493,10,"Câu trả lời của AI hoàn toàn khớp với Ground Truth, cung cấp đúng thời gian khảo sát."
4,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 là khi nào?,Từ ngày 15/09/2025 đến ngày 31/12/2025.,Llama 3.3 70B,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy của giảng viên trong học kỳ I năm học 2025-2026 là từ ngày 15/09/2025 đến ngày 31/12/2025.,0.58,4493,10,"Câu trả lời AI cung cấp đúng thời gian khảo sát giống như Ground Truth, chỉ mở rộng mô tả mà không sai thông tin."
4,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 là khi nào?,Từ ngày 15/09/2025 đến ngày 31/12/2025.,Groq Compound Mini,Thời gian khảo sát là từ ngày **15/09/2025** đến ngày **31/12/2025**. (Dựa trên NGUỒN #1 và NGUỒN #3),1.61,4493,10,"Câu trả lời AI cung cấp đúng ngày bắt đầu và kết thúc giống như Ground Truth, không sai lệch nào."
5,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng bao nhiêu điểm rèn luyện?,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng 5 điểm rèn luyện.,Llama 3.1 8B,"Theo văn bản tham khảo #1, nếu sinh viên thực hiện khảo sát trên 90% số môn học, họ sẽ được cộng 5 điểm rèn luyện.",0.74,5016,10,"Câu trả lời AI truyền đạt đúng thông tin chính: sinh viên thực hiện khảo sát trên 90% môn học sẽ được cộng 5 điểm rèn luyện, không có sai sót."
5,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng bao nhiêu điểm rèn luyện?,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng 5 điểm rèn luyện.,Llama 3.3 70B,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng 5 điểm rèn luyện.,0.53,5016,10,"Câu trả lời của AI hoàn toàn giống với Ground Truth, truyền đạt đúng thông tin về việc cộng 5 điểm rèn luyện."
5,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng bao nhiêu điểm rèn luyện?,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng 5 điểm rèn luyện.,Groq Compound Mini,Sinh viên thực hiện khảo sát trên 90 % số môn học sẽ được cộng **5 điểm rèn luyện** (theo bảng “Phần trăm thực hiện khảo sát …” trong NGUỒN #1).,1.41,5016,10,"Câu trả lời AI truyền đạt đúng và đầy đủ thông tin như Ground Truth, không sai lệch."
6,Học phí Khối ngành Công nghệ kỹ thuật - Sản xuất chế biến cho khóa 2023 là bao nhiêu?,18.000.000 đồng/học kỳ.,Llama 3.1 8B,Tôi không tìm thấy thông tin về học phí Khối ngành Công nghệ kỹ thuật - Sản xuất chế biến cho khóa 2023 trong các văn bản tham khảo.,0.56,4295,1,"AI không cung cấp thông tin về học phí và cho rằng không tìm thấy dữ liệu, trong khi đáp án chuẩn là 18.000.000 đồng/học kỳ, nên câu trả lời hoàn toàn sai."
6,Học phí Khối ngành Công nghệ kỹ thuật - Sản xuất chế biến cho khóa 2023 là bao nhiêu?,18.000.000 đồng/học kỳ.,Llama 3.3 70B,Học phí Khối ngành Công nghệ kỹ thuật - Sản xuất chế biến cho khóa 2023 là 23.200.000 đồng/học kỳ hoặc 1.237.000 đồng/tín chỉ.,0.62,4295,1,"Câu trả lời AI đưa ra mức học phí 23.200.000 đồng/học kỳ, không khớp với mức 18.000.000 đồng/học kỳ trong Ground Truth, nên thông tin sai hoàn toàn."
6,Học phí Khối ngành Công nghệ kỹ thuật - Sản xuất chế biến cho khóa 2023 là bao nhiêu?,18.000.000 đồng/học kỳ.,Groq Compound Mini,"Học phí cho Khối ngành **Công nghệ kỹ thuật – Sản xuất chế biến** ở khóa 2023:

- **Theo chương trình đào tạo chất lượng cao**: 23.200.000 đồng mỗi học kỳ (1.237.000 đồng/tín chỉ)【NGUỒN #1】  
- **Theo chương trình thường**: 18.000.000 đồng mỗi học kỳ (960.000 đồng/tín chỉ)【NGUỒN #2】",5.09,4295,8,"AI cung cấp đáp án đúng là 18.000.000 đồng/học kỳ, nhưng thêm thông tin không yêu cầu về mức phí khác, gây dư thừa dù không sai."
7,Học phí khóa 2025 có bao gồm học phần Giáo dục quốc phòng và an ninh không?,"Không, học phí khóa 2025 không bao gồm các học phần GDQP&AN và GDTC.",Llama 3.1 8B,Học phí khóa 2025 không bao gồm các học phần Giáo dục quốc phòng và an ninh (GDQP&AN) và Giáo dục thể chất (GDTC).,0.57,3317,10,"Câu trả lời AI truyền đạt đúng nội dung của Ground Truth, khẳng định học phí không bao gồm học phần GDQP&AN và GDTC, không có sai sót."
7,Học phí khóa 2025 có bao gồm học phần Giáo dục quốc phòng và an ninh không?,"Không, học phí khóa 2025 không bao gồm các học phần GDQP&AN và GDTC.",Llama 3.3 70B,"Không, học phí khóa 2025 không bao gồm các học phần Giáo dục quốc phòng và an ninh (GDQP&AN) và Giáo dục thể chất (GDTC). Học phí học phần GDQP&AN, GDTC khóa 2025 là 853.000 đồng/Tín chỉ.",0.84,3317,9,"Câu trả lời AI đúng nội dung chính: học phí không bao gồm học phần GDQP&AN (và GDTC). Thông tin bổ sung về GDTC và mức phí không sai, chỉ mở rộng nên vẫn chính xác."
7,Học phí khóa 2025 có bao gồm học phần Giáo dục quốc phòng và an ninh không?,"Không, học phí khóa 2025 không bao gồm các học phần GDQP&AN và GDTC.",Groq Compound Mini,Học phí khóa 2025 **không bao gồm** học phần Giáo dục quốc phòng và an ninh (GDQP&AN).,6.81,3317,10,"AI trả lời đúng rằng học phí không bao gồm học phần Giáo dục quốc phòng và an ninh, phù hợp với Ground Truth."
