question_id,question,ground_truth,model_name,generated_answer,latency_seconds,context_length,score,reasoning
1,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Llama 3.1 8B,Học phần Kỹ năng giao tiếp tiếng Anh 1 có 4 tín chỉ.,0.56,3703,10.0,"Câu trả lời AI đúng hoàn toàn với Ground Truth, cung cấp đúng số tín chỉ là 4"
1,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Llama 3.3 70B,Học phần Kỹ năng giao tiếp tiếng Anh 1 có 4 tín chỉ.,0.53,3703,9.0,"Câu trả lời AI truyền đạt đúng thông tin chính là môn có 4 tín chỉ, chỉ thiếu mã môn nhưng không ảnh hưởng đến độ chính xác."
1,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Groq Compound Mini,Học phần Kỹ năng giao tiếp tiếng Anh 1 có **4 tín chỉ**.,1.04,3703,10.0,"Câu trả lời AI truyền đạt đúng thông tin chính là môn có 4 tín chỉ, phù hợp với Ground Truth."
2,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ quy đổi sang các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,Llama 3.1 8B,Tôi không tìm thấy thông tin về thời gian nộp chứng chỉ IELTS để miễn học phần tiếng Anh cho sinh viên khóa 2023 trong các văn bản tham khảo.,0.52,3704,2.0,"AI trả lời rằng không tìm thấy thông tin, trong khi Ground Truth đã cung cấp rõ ràng thời gian là 07 học kỳ đầu, nên câu trả lời AI không đúng và thiếu thông tin quan trọng."
2,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ quy đổi sang các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,Llama 3.3 70B,Tôi không tìm thấy thông tin này trong tài liệu.,0.54,3704,1.0,"AI không cung cấp thông tin đúng; trả lời rằng không tìm thấy dữ liệu, trong khi Ground Truth đã nêu rõ thời gian 07 học kỳ đầu tiên."
2,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ quy đổi sang các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,Groq Compound Mini,Tôi không tìm thấy thông tin này trong tài liệu.,1.66,3704,1.0,AI không cung cấp thông tin đúng; trả lời rằng không tìm thấy thông tin trong khi Ground Truth đã nêu rõ thời gian 07 học kỳ đầu tiên.
3,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,Llama 3.1 8B,Tôi không tìm thấy thông tin về mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 trong các văn bản tham khảo.,0.55,3531,1.0,"AI không cung cấp mức điểm TOEIC cần thiết mà chỉ nói không tìm thấy thông tin, trái với đáp án chuẩn (385-785)."
3,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,Llama 3.3 70B,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,0.57,3531,10.0,"Câu trả lời AI trùng khớp hoàn toàn với Ground Truth, truyền đạt đúng mức điểm TOEIC 4 kỹ năng (385-785) để được miễn học phần."
3,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,Groq Compound Mini,"Theo Văn bản tham khảo #1, để được miễn học phần **Kỹ năng giao tiếp tiếng Anh 1**, điểm TOEIC (4 kỹ năng) phải nằm trong khoảng **385 – 785**. (Mức tối thiểu là 385.)",1.33,3531,10.0,Câu trả lời AI truyền đạt đúng và đầy đủ mức điểm TOEIC 4 kỹ năng (385-785) như Ground Truth.
4,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 là khi nào?,Từ ngày 15/09/2025 đến ngày 31/12/2025.,Llama 3.1 8B,Tôi không tìm thấy thông tin về thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 trong các văn bản tham khảo.,0.54,4199,1.0,"AI không cung cấp thời gian khảo sát, trả lời không đúng và không liên quan tới thông tin chuẩn."
