question_id,question,ground_truth,model_name,generated_answer,latency_seconds,context_length,score,reasoning
1,Học phần Kỹ năng giao tiếp tiếng Anh 1 có bao nhiêu tín chỉ?,Học phần Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có 4 tín chỉ.,Groq Compound Mini,Kỹ năng giao tiếp tiếng Anh 1 (ENCS140026) có **4 tín chỉ**.,1.49,2587,10.0,"Câu trả lời AI truyền đạt đúng thông tin về số tín chỉ (4) và mã môn, tương đồng với Ground Truth."
2,Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS để miễn học phần tiếng Anh trong bao lâu?,Sinh viên chỉ được sử dụng chứng chỉ quy đổi sang các học phần Kỹ năng giao tiếp tiếng Anh trong 07 học kỳ đầu tiên.,Groq Compound Mini,"Sinh viên khóa 2023 có thể nộp chứng chỉ IELTS (hoặc các chứng chỉ tiếng Anh quốc tế khác) để được miễn học các học phần “Kỹ năng giao tiếp tiếng Anh” trong **tối đa 7 học kỳ đầu tiên** của chương trình. Sau học kỳ thứ 8 trở đi, sinh viên sẽ phải đăng ký học các học phần này như bình thường.",1.53,5561,10.0,"Câu trả lời AI truyền đạt đúng nội dung chính của Ground Truth: sử dụng chứng chỉ IELTS để miễn học phần Kỹ năng giao tiếp tiếng Anh trong 7 học kỳ đầu, không có thông tin sai lệch."
3,Mức điểm TOEIC 4 kỹ năng để được miễn học phần Kỹ năng giao tiếp tiếng Anh 1 là bao nhiêu?,Mức điểm TOEIC (4 kỹ năng) để miễn Kỹ năng giao tiếp tiếng Anh 1 là 385-785.,Groq Compound Mini,Mức điểm TOEIC (4 kỹ năng) để được miễn học phần **Kỹ năng giao tiếp tiếng Anh 1** là **từ 385 đến 785**.,1.32,5031,10.0,"Câu trả lời của AI truyền đạt đúng và đầy đủ thông tin như Ground Truth, không sai lệch."
4,Thời gian khảo sát lấy ý kiến sinh viên về hoạt động giảng dạy HKI 2025-2026 là khi nào?,Từ ngày 15/09/2025 đến ngày 31/12/2025.,Groq Compound Mini,Thời gian khảo sát là từ ngày 15/09/2025 đến ngày 31/12/2025.,2.81,4678,10.0,"Câu trả lời AI trùng khớp hoàn toàn với Ground Truth, truyền đạt đúng thời gian khảo sát."
5,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng bao nhiêu điểm rèn luyện?,Sinh viên thực hiện khảo sát trên 90% số môn học sẽ được cộng 5 điểm rèn luyện.,Groq Compound Mini,Sinh viên thực hiện khảo sát trên 90 % số môn học (tức trong khoảng 91‑100 %) sẽ được cộng **5 điểm rèn luyện** theo bảng quy định trong NGUỒN #1.,1.56,5152,10.0,"Câu trả lời AI truyền đạt đúng thông tin chính: sinh viên thực hiện khảo sát trên 90% môn học sẽ được cộng 5 điểm rèn luyện, không có sai sót."
6,Học phí Khối ngành Công nghệ kỹ thuật - Sản xuất chế biến cho khóa 2023 là bao nhiêu?,18.000.000 đồng/học kỳ.,Groq Compound Mini,"Theo Quyết định ban hành Quy định thu học phí năm học 2025‑2026 (Nguồn #1), học phí cho **Khối ngành Công nghệ kỹ thuật – Sản xuất chế biến** ở **khóa 2023** là:

- **23.200.000 đồng mỗi học kỳ**  
- (tương đương **1.237.000 đồng mỗi tín chỉ**).",6.69,5539,2.0,"AI đưa ra mức học phí 23.200.000 đồng/học kỳ, khác so với đáp án chuẩn 18.000.000 đồng/học kỳ, nên thông tin không đúng."
7,Học phí khóa 2025 có bao gồm học phần Giáo dục quốc phòng và an ninh không?,"Không, học phí khóa 2025 không bao gồm các học phần GDQP&AN và GDTC.",Groq Compound Mini,Học phí khóa 2025 **không** bao gồm học phần Giáo dục quốc phòng và an ninh (GDQP&AN).【NGUỒN #2】【NGUỒN #3】,6.62,4474,10.0,"AI trả lời đúng rằng học phí khóa 2025 không bao gồm học phần Giáo dục quốc phòng và an ninh, phù hợp với Ground Truth."
8,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là bao nhiêu?,853.000 đồng/tín chỉ.,Groq Compound Mini,Đơn giá một tín chỉ cho học phần GDQP&AN khóa 2025 là **853.000 đồng/Tín chỉ**.,1.24,5172,10.0,"Câu trả lời của AI trùng khớp hoàn toàn với Ground Truth, cung cấp đúng số tiền và đơn vị."
9,Thời gian đăng ký học phần đợt 1 cho HKI năm học 2025-2026 là khi nào?,Từ 09g00 ngày 11/8/2025 đến 07g30 ngày 18/8/2025.,Groq Compound Mini,Thời gian đăng ký học phần đợt 1 cho HKI năm học 2025‑2026 là **từ 09:00 ngày 11 tháng 8 năm 2025 đến 07:30 ngày 18 tháng 8 năm 2025**. (theo Văn bản #4),1.69,4727,10.0,"Câu trả lời AI truyền đạt đúng thời gian đăng ký học phần đợt 1 như Ground Truth, chỉ khác về cách viết nhưng nội dung hoàn toàn chính xác."
10,Sinh viên đăng ký tối đa bao nhiêu tín chỉ trong một học kỳ?,Số tín chỉ sinh viên được đăng ký tối đa là 28 tín chỉ.,Groq Compound Mini,"Sinh viên được phép đăng ký tối đa **28 tín chỉ** trong một học kỳ. (Dựa trên các quy định trong các nguồn tài liệu, ví dụ: “Khối lượng tối đa không vượt quá 28 tín chỉ” và “Tổng số tín chỉ tối đa cho phép sinh viên đăng ký học trong học kỳ là 28 tín chỉ”.)",1.99,5118,10.0,"Câu trả lời AI khớp hoàn toàn với Ground Truth, cung cấp đúng con số 28 tín chỉ và không có thông tin sai lệch."
11,Sinh viên năm cuối được ưu tiên đăng ký học phần như thế nào?,Được ưu tiên đăng ký trước từ 1 đến 2 ngày so với các sinh viên khác.,Groq Compound Mini,"Sinh viên năm cuối được **ưu tiên đăng ký học phần trước ngày so với các sinh viên khác**. Trong thời gian ưu tiên này, họ chỉ được đăng ký các học phần thuộc chương trình đào tạo và **không được phép đăng ký học các học phần tự chọn hoặc các học phần ngoài chương trình**. (Nguồn: NGUỒN #2)",6.78,4879,5.0,"AI nêu rằng sinh viên năm cuối được ưu tiên đăng ký trước so với các sinh viên khác, nhưng không đề cập thời gian cụ thể 1‑2 ngày và thêm thông tin không có trong Ground Truth, có thể không chính xác."
12,Địa chỉ website để đăng ký môn học là gì?,https://dkmh.hcmute.edu.vn,Groq Compound Mini,Địa chỉ website để đăng ký môn học là: **https://online.hcmute.edu.vn**.,5.92,5112,1.0,"AI cung cấp địa chỉ website khác với địa chỉ chuẩn, không đúng thông tin yêu cầu."
13,Điều kiện để sinh viên được xét tốt nghiệp về điểm trung bình tích lũy là bao nhiêu?,Điểm trung bình chung tích lũy của toàn khóa học đạt từ 5.00 trở lên (đối với khóa 2020 trở về trước) hoặc từ trung bình trở lên (đối với khóa 2021 trở đi).,Groq Compound Mini,Sinh viên phải có **điểm trung bình tích lũy (điểm trung bình chung tích lũy) của toàn khóa học đạt từ 5.00 trở lên**【NGUỒN #2】.,8.91,5269,5.0,"AI chỉ nêu điều kiện đạt từ 5.00 trở lên, bỏ qua phần quy định cho khóa 2021 trở đi (trung bình trở lên), nên thông tin không đầy đủ."
14,Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học và ngành Sư phạm Tiếng Anh là bao nhiêu?,120.000Đ (Một trăm hai mươi ngàn đồng).,Groq Compound Mini,"Lệ phí làm bằng tốt nghiệp cho sinh viên Đại học, ngành Sư phạm Tiếng Anh là **120.000 đồng**.",6.95,5210,10.0,"Câu trả lời AI cung cấp đúng số tiền 120.000 đồng, trùng khớp với Ground Truth và không thiếu thông tin quan trọng."
15,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025-2026 là khi nào?,Từ ngày 20-31/10/2025.,Groq Compound Mini,Thời gian nộp đơn xin điểm I (online) đợt 1 học kỳ 1/2025‑2026 là **từ ngày 20 đến 31/10/2025**.,4.98,4419,10.0,"Câu trả lời AI truyền đạt đúng và đầy đủ thông tin như Ground Truth, không sai lệch."
16,Sinh viên bị ốm trong đợt thi cần làm gì để xin điểm I?,Làm đơn xin nhận điểm I các học phần không tham gia thi được trong thời gian ốm kèm các giấy tờ của cơ quan y tế.,Groq Compound Mini,"Sinh viên nghỉ ốm trong đợt thi phải:

1. **Làm đơn xin nhận điểm I** cho các học phần không tham gia thi được do ốm, kèm **giấy tờ của cơ quan y tế** chứng minh bệnh.  
2. **Nộp đơn**:  
   - Theo NGUỒN #2 và #4: nộp lên **văn phòng Khoa**; sau khi Khoa xác nhận, lại nộp cho **Phòng Đào tạo** (hoặc Phòng Hợp tác & Phát triển Đào tạo).  
   - Theo NGUỒN #1 và #3: có thể **đăng ký online** trong thời gian quy định (ví dụ 20‑31/10/2025 hoặc 11/02‑14/02/2025), thực hiện các bước: nhập lý do “Bị bệnh”, chọn học phần, tải file minh chứng, lưu và theo dõi kết quả trên mục “Thông báo cá nhân”.  

Như vậy, sinh viên cần chuẩn bị đơn + giấy tờ y tế, nộp theo quy trình của Khoa/Phòng Đào tạo hoặc thực hiện đăng ký trực tuyến trong thời gian quy định.",8.01,4647,9.0,"Câu trả lời AI truyền đạt đầy đủ nội dung chính của Ground Truth: làm đơn xin nhận điểm I cho các học phần không tham gia thi được do ốm và kèm giấy tờ y tế. Ngoài ra còn bổ sung chi tiết về quy trình nộp đơn mà không sai lệch, nên điểm cao."
17,Học phần thay thế được đăng ký trong trường hợp nào?,"Khi môn học trong chương trình đào tạo không còn mở lớp hoặc đã đăng ký môn học cùng tên, số tín chỉ nhưng khác mã và có nội dung tương đương.",Groq Compound Mini,"**Học phần thay thế chỉ được đăng ký khi:**

1. **Môn học gốc không còn mở lớp** và **môn học thay thế đã được Khoa/ Bộ môn tư vấn, đồng ý**;  
   **hoặc**  
2. **Môn học thay thế có cùng tên, số tín chỉ** (nhưng mã môn khác) và **nội dung tương đương**, đồng thời cũng được Khoa/ Bộ môn chấp thuận.

Trong cả hai trường hợp, sinh viên phải **nộp đơn xin thay thế học phần (theo mẫu của Phòng Đào tạo) trong thời gian đăng ký học phần**.",1.59,4737,9.0,"Câu trả lời AI bao gồm đầy đủ hai điều kiện chính của Ground Truth và thêm chi tiết không sai, nên nội dung chính đúng."
18,Thời gian nhận đơn xin thay thế môn học đợt 1 của HKI 2025-2026?,Từ ngày 11/08/2025 đến hết ngày 23/08/2025.,Groq Compound Mini,Thời gian nhận đơn xin thay thế môn học đợt 1 của HKI 2025‑2026 là **từ ngày 11/08/2025 đến hết ngày 23/08/2025**.,8.51,5234,10.0,"Câu trả lời AI truyền đạt đúng và đầy đủ thông tin như Ground Truth, không sai lệch."
19,"Để miễn thi Giáo dục thể chất, sinh viên cần điều kiện gì?",Sinh viên có vấn đề về sức khỏe không thể tham gia học hoặc đã tích lũy học phần có cùng nội dung ở một trường đại học khác.,Groq Compound Mini,"Để được miễn thi môn **Giáo dục thể chất (GDTC)**, sinh viên phải đáp ứng **một trong các điều kiện sau** (theo các văn bản tham khảo):

1. **Có chứng chỉ GDTC cùng bậc đào tạo**  
   - Chứng chỉ ở cùng mức đào tạo → được miễn thi ngay.  
   - Nếu chứng chỉ ở bậc thấp hơn, phòng Đào tạo sẽ xem xét miễn thi các học phần tương ứng.

2. **Đã học và hoàn thành nội dung GDTC tương đương tại trường khác**  
   - Sinh viên tốt nghiệp hoặc đang học tại trường Đại học/Cao đẳng khác, nộp bảng điểm kèm bản sao bằng tốt nghiệp cho phòng Đào tạo để xem xét miễn thi.

3. **Có vấn đề sức khỏe không cho phép tham gia GDTC**  
   - Sinh viên có bệnh lý, khuyết tật hoặc các tình trạng sức khỏe khác (theo quy định hiện hành) → được xét miễn phần thực hành GDTC.  
   - Cần nộp đơn xin miễn thi kèm giấy chứng nhận bệnh viện và xác nhận của trạm y tế trường (đối với phần thực hành).  
   - Trước khi đăng ký online, sinh viên nên liên hệ Trung tâm Giáo dục Thể chất để được tư vấn các học phần được miễn.

Nếu đáp ứng một trong các điều kiện trên và thực hiện đầy đủ thủ tục (đơn, giấy tờ y tế hoặc chứng chỉ/bảng điểm), sinh viên sẽ được xét duyệt miễn thi GDTC.",2.72,5474,6.0,"AI liệt kê đúng hai điều kiện chính (vấn đề sức khỏe và học phần tương đương ở trường khác) nhưng thêm điều kiện không có trong Ground Truth (có chứng chỉ GDTC cùng bậc), gây thông tin không chính xác."
20,Chứng chỉ VSTEP bậc mấy thì được miễn thi ngoại ngữ đầu ra (không chuyên ngữ)?,VSTEP Bậc 3.,Groq Compound Mini,**Chứng chỉ VSTEP bậc 3** được công nhận để miễn thi ngoại ngữ đầu ra (không chuyên ngữ).,12.59,5622,10.0,"Câu trả lời AI đúng hoàn toàn, nêu rõ VSTEP bậc 3 là chứng chỉ được miễn thi ngoại ngữ đầu ra, trùng khớp với Ground Truth."
